Country,MilDeath,TotalDeath,CivDeath,TotalPop, take
Albania,30000,30200,200,1073000
Australia,39800,40500,700,6968000
Austria,261000,384700,123700,6653000
Belgium,12000,88000,76000,8387000
Brazil,1000,2000,1000,40289000
Bulgaria,22000,25000,3000,6458000
Burma,2600,252600,250000,16119000
Canada,45400,45400,0,11267000
China,3750000,20000000,16250000,517568000
Slovakia,25000,345000,320000,14612000
Denmark,2100,6000,8100,3795000
Indonesia,11500,4000000,3988500,69435000
Estonia,34000,85000,51000,1134000
Ethiopia,15000,100000,85000,17700000
Finland,94000,97000,3000,3700000
France,217600,567600,350000,41680000
French Indochina,0,1500000,1500000,24664000
Germany,5533000,8800000,3267000,69300000
Greece,35000,800000,765000,7222000
Guam,2000,2000,0,22800
Hungary,300000,580000,280000,9129000
Iceland,0,200,200,118900
India,87000,2500000,2413000,377800000
Ireland,5000,5100,100,2960000
Italy,301400,457000,155600,44394000
Japan,2120000,3100000,980000,71380000
Korea,0,473000,473000,24326000
Latvia,30000,257000,227000,1994500
Lithuania,25000,353000,328000,2575000
Luxembourg,0,5000,5000,290000
Malaya,0,100000,100000,5118000
Netherlands,17000,210000,193000,8729000
New Zealand,11900,11900,0,1629000
Norway,3000,9500,6500,2945000
Papua New Guinea,0,15000,15000,1292000
Philippines,57000,1000000,943000,16000303
Poland,240000,5900000,5660000,34849000
Romania,300000,833000,533000,15970000
South Africa,11900,11900,0,1016000
Russia,10700000,24000000,13300000,188793000
United Kingdom,383600,450700,67100,47760000
United States,416800,418500,1700,131028000
Yugoslavia,446000,1000000,554000,15490000
